simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,10,192,13,ok,0,763,2.98046875,1.5323122578125004,392.2719380000001,256
1,10,192,14,ok,0,744,2.90625,1.2465543803921573,317.8713670000001,255
1,10,192,15,ok,0,836,3.265625,1.2592144062500004,322.3588880000001,256
1,10,192,16,ok,0,752,2.9375,1.5295651484375001,391.56867800000003,256
1,10,192,17,ok,0,767,2.99609375,1.4720735234374993,376.8508219999998,256
1,10,192,18,ok,0,735,2.87109375,1.5218670000000014,389.59795200000036,256
1,10,192,19,ok,0,724,2.828125,1.501219921875,384.3123,256
1,20,32,10,ok,0,319,1.24609375,0.003509660156249997,0.8984729999999992,256
1,20,32,11,ok,0,326,1.2734375,0.0033620312500000013,0.8606800000000003,256
1,20,32,12,ok,0,315,1.23046875,0.003544320312499999,0.9073459999999998,256
1,20,32,13,ok,0,330,1.2890625,0.0034459375000000006,0.8821600000000002,256
1,20,32,14,ok,0,323,1.26171875,0.0033499179687499973,0.8575789999999993,256
1,20,32,15,ok,0,319,1.24609375,0.0035967851562499985,0.9207769999999996,256
1,20,32,16,ok,0,324,1.265625,0.0035143046874999994,0.8996619999999999,256
1,20,32,17,ok,0,309,1.20703125,0.002875898437499997,0.7362299999999993,256
1,20,32,18,ok,0,318,1.2421875,0.003627152343749998,0.9285509999999995,256
1,20,32,19,ok,0,328,1.28125,0.0031434374999999987,0.8047199999999997,256
1,20,64,10,ok,0,604,2.359375,0.02169869921875,5.554867,256
1,20,64,11,ok,0,581,2.26953125,0.024896562499999997,6.373519999999999,256
1,20,64,12,ok,0,583,2.27734375,0.025383054687500014,6.498062000000004,256
1,20,64,13,ok,0,619,2.41796875,0.021695332031249983,5.554004999999996,256
1,20,64,14,ok,0,587,2.29296875,0.02728283984375,6.984407,256
1,20,64,15,ok,0,585,2.28515625,0.02368738671874999,6.063970999999998,256
1,20,64,16,ok,0,587,2.29296875,0.024921894531249978,6.380004999999994,256
1,20,64,17,ok,0,589,2.30078125,0.021954464843749997,5.620342999999999,256
1,20,64,18,ok,0,606,2.3671875,0.024361929687500006,6.2366540000000015,256
1,20,64,19,ok,0,592,2.3125,0.026482035156250004,6.779401000000001,256
1,20,96,10,ok,0,812,3.171875,0.11203400390624998,28.680704999999996,256
1,20,96,11,ok,0,837,3.26953125,0.09387600781249998,24.032257999999995,256
1,20,96,12,ok,0,841,3.28515625,0.09600969921874998,24.578482999999995,256
1,20,96,13,ok,0,831,3.24609375,0.11868797265625003,30.384121000000007,256
1,20,96,14,ok,0,820,3.203125,0.10373513281249991,26.556193999999977,256
1,20,96,15,ok,0,827,3.23046875,0.11305246093750004,28.94143000000001,256
1,20,96,16,ok,0,849,3.31640625,0.09383400781250004,24.02150600000001,256
1,20,96,17,ok,0,811,3.16796875,0.12201285937499994,31.235291999999983,256
1,20,96,18,ok,0,837,3.26953125,0.13074175,33.469888,256
1,20,96,19,ok,0,869,3.39453125,0.10460823046874991,26.779706999999977,256
1,20,128,10,ok,0,986,3.8515625,0.41143102734375014,105.32634300000004,256
1,20,128,11,ok,0,996,3.890625,0.36254163671875006,92.81065900000002,256
1,20,128,12,ok,0,1052,4.109375,0.30671574999999984,78.51923199999996,256
1,20,128,13,ok,0,1018,3.9765625,0.36071301953124985,92.34253299999996,256
1,20,128,14,ok,0,1004,3.921875,0.3682443671874999,94.27055799999998,256
1,20,128,15,ok,0,1024,4.0,0.28775179687499997,73.66445999999999,256
1,20,128,16,ok,0,1009,3.94140625,0.35562043359375,91.038831,256
1,20,128,17,ok,0,982,3.8359375,0.3724773789062501,95.35420900000003,256
1,20,128,18,ok,0,1020,3.984375,0.3630739804687502,92.94693900000006,256
1,20,128,19,ok,0,978,3.8203125,0.49318027343749987,126.25414999999997,256
1,20,160,10,ok,0,1182,4.6171875,0.8275805703124998,211.86062599999994,256
1,20,160,11,ok,0,1186,4.6328125,0.7901809765624996,202.2863299999999,256
1,20,160,12,ok,0,1117,4.36328125,1.05616610546875,270.378523,256
1,20,160,13,ok,0,1180,4.609375,0.99073772265625,253.628857,256
1,20,160,14,ok,0,1176,4.59375,0.8796787382812505,225.19775700000014,256
1,20,160,15,ok,0,1160,4.53125,0.9150119101562493,234.24304899999981,256
1,20,160,16,ok,0,1181,4.61328125,0.9857436484375002,252.35037400000004,256
1,20,160,17,ok,0,1162,4.5390625,0.8659567382812501,221.68492500000002,256
1,20,160,18,ok,0,1113,4.34765625,1.21185148828125,310.233981,256
1,20,160,19,ok,0,1154,4.5078125,0.9618950273437499,246.24512699999997,256
1,20,192,10,ok,0,1237,4.83203125,2.336326019531248,598.0994609999995,256
1,20,192,11,ok,0,1280,5.0,1.7856477109375004,457.1258140000001,256
1,20,192,12,ok,0,1286,5.0234375,2.42633566015625,621.141929,256
1,20,192,13,ok,0,1284,5.015625,2.3898904648437496,611.8119589999999,256
1,20,192,14,ok,0,1293,5.05078125,2.2039325429687517,564.2067310000004,256
1,20,192,15,ok,0,1333,5.20703125,1.84520153515625,472.371593,256
1,20,192,16,ok,0,1296,5.0625,2.0981926367187507,537.1373150000002,256
1,20,192,17,ok,0,1256,4.90625,2.3118993164062505,591.8462250000001,256
1,20,192,18,ok,0,1264,4.9375,2.379869769531249,609.2466609999998,256
1,20,192,19,ok,0,1286,5.0234375,1.99218094921875,509.998323,256
5,5,32,10,ok,0,316,1.234375,0.0017179615384615378,0.08933399999999997,52
