simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
5,5,96,15,ok,0,362,1.4140625,0.014304192307692308,0.743818,52
5,5,96,16,ok,0,373,1.45703125,0.014992384615384614,0.779604,52
5,5,96,17,ok,0,350,1.3671875,0.015893615384615388,0.8264680000000001,52
5,5,96,18,ok,0,369,1.44140625,0.014650115384615388,0.7618060000000002,52
5,5,96,19,ok,0,350,1.3671875,0.016522980769230762,0.8591949999999997,52
5,5,128,10,ok,0,231,0.90234375,0.15853316666666661,5.7071939999999985,36
5,5,128,11,ok,0,348,1.359375,0.10903632692307691,5.6698889999999995,52
5,5,128,12,ok,0,462,1.8046875,0.03307298076923077,1.7197950000000002,52
5,5,128,13,ok,0,457,1.78515625,0.03839736538461539,1.9966630000000003,52
5,5,128,14,ok,0,408,1.59375,0.0656451730769231,3.4135490000000006,52
5,5,128,15,ok,0,464,1.8125,0.038377942307692314,1.9956530000000003,52
5,5,128,16,ok,0,444,1.734375,0.045056499999999985,2.3429379999999993,52
5,5,128,17,ok,0,460,1.796875,0.03632580769230769,1.888942,52
5,5,128,18,ok,0,448,1.75,0.03483703846153847,1.8115260000000002,52
5,5,128,19,ok,0,240,0.9375,0.08551031578947368,3.249392,38
5,5,160,10,ok,0,208,0.8125,0.2027712068965517,5.880364999999999,29
5,5,160,11,ok,0,175,0.68359375,0.21669592307692312,5.634094000000001,26
5,5,160,12,ok,0,192,0.75,0.1779721923076923,4.627276999999999,26
5,5,160,13,ok,0,367,1.43359375,0.15265336585365857,6.258788000000002,41
5,5,160,14,ok,0,330,1.2890625,0.20980275609756094,8.601912999999998,41
5,5,160,15,ok,0,231,0.90234375,0.1714070666666667,5.142212000000001,30
5,5,160,16,ok,0,277,1.08203125,0.1648970303030303,5.441602,33
5,5,160,17,ok,0,240,0.9375,0.19123737500000004,6.119596000000001,32
5,5,160,18,ok,0,228,0.890625,0.2235470666666667,6.706412000000001,30
5,5,160,19,ok,0,219,0.85546875,0.19004609677419362,5.891429000000002,31
5,5,192,10,ok,0,231,0.90234375,0.24236255555555555,6.543789,27
5,5,192,11,ok,0,240,0.9375,0.30719731034482756,8.908722,29
5,5,192,12,ok,0,240,0.9375,0.2990725185185185,8.074958,27
5,5,192,13,ok,0,243,0.94921875,0.24024439285714286,6.726843,28
5,5,192,14,ok,0,242,0.9453125,0.24541707142857147,6.871678000000001,28
5,5,192,15,ok,0,310,1.2109375,0.2531546774193548,7.847794999999999,31
5,5,192,16,ok,0,178,0.6953125,0.2624374545454546,5.773624000000001,22
5,5,192,17,ok,0,237,0.92578125,0.2471368148148148,6.672694,27
5,5,192,18,ok,0,165,0.64453125,0.2684887142857143,5.638263,21
5,5,192,19,ok,0,196,0.765625,0.27780978260869565,6.389625,23
5,5,224,10,ok,0,154,0.6015625,0.37819611111111107,6.807529999999999,18
5,5,224,11,ok,0,165,0.64453125,0.3283108421052631,6.237906,19
5,5,224,12,ok,0,240,0.9375,0.40149595833333335,9.635903,24
5,5,224,13,ok,0,270,1.0546875,0.40303959259259264,10.882069000000001,27
5,5,224,14,ok,0,253,0.98828125,0.3686421153846154,9.584695,26
5,5,224,15,ok,0,250,0.9765625,0.4067280000000001,10.574928000000002,26
5,5,224,16,ok,0,248,0.96875,0.38622503846153844,10.041851,26
5,5,224,17,ok,0,175,0.68359375,0.3351675789473684,6.368184,19
5,5,224,18,ok,0,234,0.9140625,0.387535,9.30084,24
5,5,224,19,ok,0,180,0.703125,0.3389788947368421,6.440599,19
5,10,96,10,ok,0,353,1.37890625,0.03002617307692307,1.5613609999999996,52
5,10,96,11,ok,0,356,1.390625,0.024208000000000004,1.2588160000000002,52
5,10,96,12,ok,0,375,1.46484375,0.028703769230769227,1.4925959999999998,52
5,10,96,13,ok,0,367,1.43359375,0.029305692307692317,1.5238960000000006,52
5,10,96,14,ok,0,354,1.3828125,0.028313211538461537,1.472287,52
5,10,96,15,ok,0,369,1.44140625,0.026439115384615384,1.374834,52
5,10,96,16,ok,0,370,1.4453125,0.02689159615384616,1.3983630000000002,52
5,10,96,17,ok,0,335,1.30859375,0.028446384615384623,1.4792120000000004,52
5,10,96,18,ok,0,369,1.44140625,0.025998230769230767,1.3519079999999999,52
