simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,run_dir
1,10,128,14,ok,0,989,3.86328125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_14
1,10,128,15,ok,0,854,3.3359375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_15
1,10,128,16,ok,0,917,3.58203125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_16
1,10,128,17,ok,0,895,3.49609375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_17
1,10,128,18,ok,0,934,3.6484375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_18
1,10,128,19,ok,0,721,2.81640625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_19
1,10,160,10,ok,0,896,3.5,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_10
1,10,160,11,ok,0,903,3.52734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_11
1,10,160,12,ok,0,834,3.2578125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_12
1,10,160,13,ok,0,847,3.30859375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_13
1,10,160,14,ok,0,874,3.4140625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_14
1,10,160,15,ok,0,786,3.0703125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_15
1,10,160,16,ok,0,878,3.4296875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_16
1,10,160,17,ok,0,790,3.0859375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_17
1,10,160,18,ok,0,811,3.16796875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_18
1,10,160,19,ok,0,746,2.9140625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_160/seed_19
1,10,192,10,ok,0,781,3.05078125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_10
1,10,192,11,ok,0,787,3.07421875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_11
1,10,192,12,ok,0,794,3.1015625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_12
1,10,192,13,ok,0,674,2.6328125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_13
1,10,192,14,ok,0,705,2.75390625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_14
1,10,192,15,ok,0,677,2.64453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_15
1,10,192,16,ok,0,689,2.69140625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_16
1,10,192,17,ok,0,642,2.5078125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_17
1,10,192,18,ok,0,768,3.0,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_18
1,10,192,19,ok,0,677,2.64453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_192/seed_19
1,20,32,10,ok,0,319,1.24609375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_10
1,20,32,11,ok,0,314,1.2265625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_11
1,20,32,12,ok,0,315,1.23046875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_12
1,20,32,13,ok,0,326,1.2734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_13
1,20,32,14,ok,0,323,1.26171875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_14
1,20,32,15,ok,0,319,1.24609375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_15
1,20,32,16,ok,0,320,1.25,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_16
1,20,32,17,ok,0,308,1.203125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_17
1,20,32,18,ok,0,318,1.2421875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_18
1,20,32,19,ok,0,328,1.28125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_32/seed_19
1,20,64,10,ok,0,613,2.39453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_10
1,20,64,11,ok,0,558,2.1796875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_11
1,20,64,12,ok,0,594,2.3203125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_12
1,20,64,13,ok,0,626,2.4453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_13
1,20,64,14,ok,0,592,2.3125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_14
1,20,64,15,ok,0,595,2.32421875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_15
1,20,64,16,ok,0,581,2.26953125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_16
1,20,64,17,ok,0,579,2.26171875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_17
1,20,64,18,ok,0,595,2.32421875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_18
1,20,64,19,ok,0,613,2.39453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_64/seed_19
1,20,96,10,ok,0,821,3.20703125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_10
1,20,96,11,ok,0,820,3.203125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_11
1,20,96,12,ok,0,825,3.22265625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_12
1,20,96,13,ok,0,816,3.1875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_13
1,20,96,14,ok,0,823,3.21484375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_14
1,20,96,15,ok,0,848,3.3125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_15
1,20,96,16,ok,0,812,3.171875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_16
1,20,96,17,ok,0,795,3.10546875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_17
